                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.60096,                0.68319,                0.45921,                0.90935,                0.91648,                0.84414,                0.88728,                0.65046,                0.87477,                  0.806,                 0.8205,                0.58095,                0.66994,                0.67371,                0.69762,                0.89579,              0.0011684,              0.0011684,              0.0011684
                     44,                0.56413,                 0.5974,                0.43993,                0.89474,                 0.8824,                0.82692,                0.88852,                0.69188,                 0.7881,                0.85836,                 0.8433,                0.55284,                0.66994,                 1.0866,                0.60379,                0.88631,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.5567,                0.64265,                0.43625,                0.90622,                0.88292,                0.86538,                0.86524,                0.59989,                0.80327,                0.78846,                0.73833,                0.52334,                0.74422,                 1.3642,                0.76659,                0.91015,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.5361,                0.62109,                0.42691,                0.89038,                 0.7438,                0.72588,                0.76612,                0.63723,                 0.7438,                0.72588,                0.72172,                0.54742,                0.63598,                 1.0681,                0.79561,                0.88122,               0.001109,               0.001109,               0.001109
                     47,                0.53775,                0.62472,                0.42961,                0.89425,                0.85121,                   0.75,                 0.8018,                0.59314,                 0.7847,                0.69231,                0.72273,                0.51015,                0.69256,                 1.6655,                0.99384,                0.90908,              0.0010892,              0.0010892,              0.0010892
                     48,                0.55682,                0.68178,                0.42198,                0.89776,                0.83889,                0.71154,                0.76056,                0.59904,                0.83889,                0.71154,                0.74808,                0.54198,                0.62578,                0.96591,                0.88653,                0.89034,              0.0010694,              0.0010694,              0.0010694
                     49,                0.54924,                0.64905,                0.43033,                0.90549,                 0.8168,                0.73077,                0.74169,                0.59258,                0.79497,                0.71154,                0.72735,                0.53961,                0.64652,                 1.0478,                0.90793,                0.90073,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52856,                0.61174,                0.42063,                0.89587,                0.90092,                0.73077,                0.80649,                0.64667,                0.83907,                0.67308,                0.72972,                0.56182,                0.67507,                 1.1152,                0.90145,                 0.9157,              0.0010298,              0.0010298,              0.0010298
                     51,                0.52158,                0.62226,                0.40515,                0.89174,                0.86185,                0.71995,                0.77007,                0.61579,                0.83652,                0.68891,                0.72604,                0.57021,                0.63937,                   1.06,                0.87299,                0.89789,                0.00101,                0.00101,                0.00101
                     52,                0.52537,                0.63257,                0.42506,                0.89871,                0.86937,                0.76796,                0.82143,                0.64918,                0.84304,                0.71154,                0.75183,                0.56539,                 0.6277,                   1.53,                0.72022,                0.88715,              0.0009902,              0.0009902,              0.0009902
                     53,                0.52211,                0.59807,                0.42228,                0.88871,                0.86133,                0.71154,                0.75324,                0.57503,                0.84804,                0.69231,                0.72638,                0.52576,                0.66329,                 1.2947,                 1.0866,                0.89813,              0.0009704,              0.0009704,              0.0009704
                     54,                  0.525,                0.61086,                0.40772,                0.89671,                0.88578,                0.69231,                0.78168,                0.62321,                0.88578,                0.69231,                 0.7663,                0.56074,                0.62857,                0.89841,                0.99917,                0.90127,              0.0009506,              0.0009506,              0.0009506
                     55,                0.52636,                0.63564,                0.40151,                0.90138,                0.85168,                0.78846,                0.85828,                0.65962,                0.85168,                0.78846,                0.82618,                0.56513,                0.62836,                0.97507,                0.75139,                0.89744,              0.0009308,              0.0009308,              0.0009308
                     56,                0.53215,                0.60432,                0.39367,                 0.8955,                0.83879,                0.82692,                0.82456,                0.65244,                0.79938,                0.78846,                0.75659,                0.54484,                0.62514,                 1.0768,                0.79741,                0.87522,               0.000911,               0.000911,               0.000911
                     57,                0.51433,                0.59953,                0.38568,                0.89262,                0.85724,                0.86538,                0.84979,                0.66013,                0.85724,                0.86538,                0.82311,                0.58004,                0.63384,                0.98804,                0.72797,                0.88421,              0.0008912,              0.0008912,              0.0008912
                     58,                0.50278,                0.60436,                0.38432,                 0.8917,                0.85295,                0.86538,                0.86803,                0.70047,                0.81331,                0.82692,                0.80757,                0.58978,                0.62173,                 1.1146,                0.62274,                0.89178,              0.0008714,              0.0008714,              0.0008714
