                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4487,                 0.9205,                 1.2244,                0.72808,                0.59834,                0.69915,                0.41331,                 1.7089,                0.99466,                 1.3315,               0.003466,               0.003466,               0.003466
                     68,                  1.449,                0.91501,                 1.2237,                0.72408,                0.59901,                0.69431,                0.40826,                 1.7145,                0.99362,                 1.3353,               0.003367,               0.003367,               0.003367
                     69,                  1.449,                0.90936,                  1.225,                0.71227,                0.60483,                0.69911,                0.41032,                 1.7063,                0.99447,                  1.331,               0.003268,               0.003268,               0.003268
                     70,                 1.4419,                0.90877,                 1.2254,                  0.701,                0.60719,                0.69733,                0.41401,                 1.7102,                0.98926,                 1.3336,               0.003169,               0.003169,               0.003169
                     71,                 1.4483,                0.90881,                 1.2251,                0.72143,                0.60819,                0.69436,                0.41266,                 1.7238,                0.99525,                 1.3398,                0.00307,                0.00307,                0.00307
                     72,                 1.4381,                0.90138,                 1.2205,                0.72031,                0.60773,                0.69191,                0.41137,                 1.7181,                0.99484,                 1.3362,               0.002971,               0.002971,               0.002971
                     73,                 1.4409,                0.90688,                 1.2188,                0.70439,                 0.6112,                0.69668,                0.41418,                 1.7185,                0.98735,                 1.3357,               0.002872,               0.002872,               0.002872
                     74,                 1.4396,                0.90441,                 1.2205,                0.70751,                0.60544,                0.69574,                0.41172,                 1.7179,                0.98765,                 1.3351,               0.002773,               0.002773,               0.002773
                     75,                 1.4259,                0.89557,                 1.2183,                 0.7057,                0.60809,                0.70095,                0.41627,                 1.7085,                0.98742,                 1.3336,               0.002674,               0.002674,               0.002674
                     76,                 1.4327,                0.89476,                 1.2146,                0.69518,                0.62001,                  0.703,                0.41564,                 1.7056,                0.98355,                 1.3325,               0.002575,               0.002575,               0.002575
                     77,                 1.4259,                0.89478,                 1.2158,                0.68258,                0.62422,                0.70198,                0.41271,                 1.7079,                0.98583,                 1.3354,               0.002476,               0.002476,               0.002476
                     78,                 1.4298,                 0.8953,                 1.2201,                0.59665,                0.36735,                0.38918,                 0.2353,                 1.7051,                0.98434,                 1.3326,               0.002377,               0.002377,               0.002377
                     79,                 1.4157,                0.88322,                 1.2113,                0.70019,                0.61298,                0.70246,                 0.4153,                  1.698,                0.98517,                 1.3275,               0.002278,               0.002278,               0.002278
                     80,                 1.4185,                0.88033,                 1.2138,                0.69179,                0.61189,                0.70441,                0.41706,                 1.6938,                0.98427,                 1.3245,               0.002179,               0.002179,               0.002179
                     81,                  1.424,                0.88372,                 1.2125,                0.69107,                0.61156,                0.70753,                0.41781,                 1.6936,                0.98334,                 1.3248,                0.00208,                0.00208,                0.00208
                     82,                 1.4153,                0.87412,                 1.2086,                0.68385,                0.61233,                0.70428,                0.41624,                 1.6944,                0.98121,                  1.323,               0.001981,               0.001981,               0.001981
                     83,                 1.4156,                0.87766,                 1.2077,                0.68303,                0.61905,                0.70556,                0.41843,                 1.6905,                 0.9765,                 1.3211,               0.001882,               0.001882,               0.001882
                     84,                 1.4097,                0.86741,                 1.2065,                0.69055,                0.61029,                0.70901,                0.42159,                 1.6918,                 0.9726,                 1.3208,               0.001783,               0.001783,               0.001783
